code;description;type
ALS177.38;BOTAS NEVADO OXIGENO FRIO EXTREMO S3 Nº 38;PPE
ALS177.39;BOTAS NEVADO OXIGENO FRIO EXTREMO S3 Nº 39;PPE
ALS177.40;BOTAS NEVADO OXIGENO FRIO EXTREMO S3 Nº 40;PPE
ALS177.41;BOTAS NEVADO OXIGENO FRIO EXTREMO S3 Nº 41;PPE
ALS177.42;BOTAS NEVADO OXIGENO FRIO EXTREMO S3 Nº 42;PPE
ALS177.43;BOTAS NEVADO OXIGENO FRIO EXTREMO S3 Nº 43;PPE
ALS177.44;BOTAS NEVADO OXIGENO FRIO EXTREMO S3 Nº 44;PPE
ALS177.45;BOTAS NEVADO OXIGENO FRIO EXTREMO S3 Nº 45;PPE
ALS177.46;BOTAS NEVADO OXIGENO FRIO EXTREMO S3 Nº 46;PPE
ALS178.37;PLANTILLA 20450 INDUSTRIA CALZADO Nº 37;PPE
ALS178.38;PLANTILLA 20450 INDUSTRIA CALZADO Nº 38;PPE
ALS178.39;PLANTILLA 20450 INDUSTRIA CALZADO Nº 39;PPE
ALS178.40;PLANTILLA 20450 INDUSTRIA CALZADO Nº 40;PPE
ALS178.41;PLANTILLA 20450 INDUSTRIA CALZADO Nº 41;PPE
ALS178.42;PLANTILLA 20450 INDUSTRIA CALZADO Nº 42;PPE
ALS178.43;PLANTILLA 20450 INDUSTRIA CALZADO Nº 43;PPE
ALS178.44;PLANTILLA 20450 INDUSTRIA CALZADO Nº 44;PPE
ALS178.45;PLANTILLA 20450 INDUSTRIA CALZADO Nº 45;PPE
ALS178.46;PLANTILLA 20450 INDUSTRIA CALZADO Nº 46;PPE
ALS179.37;ZAPATOS SUPER NUMAN PERFORADO S1P Nº 37;PPE
ALS179.38;ZAPATOS SUPER NUMAN PERFORADO S1P Nº 38;PPE
ALS179.39;ZAPATOS SUPER NUMAN PERFORADO S1P Nº 39;PPE
ALS179.40;ZAPATOS SUPER NUMAN PERFORADO S1P Nº 40;PPE
ALS179.41;ZAPATOS SUPER NUMAN PERFORADO S1P Nº 41;PPE
ALS179.42;ZAPATOS SUPER NUMAN PERFORADO S1P Nº 42;PPE
ALS179.43;ZAPATOS SUPER NUMAN PERFORADO S1P Nº 43;PPE
ALS179.44;ZAPATOS SUPER NUMAN PERFORADO S1P Nº 44;PPE
ALS179.45;ZAPATOS SUPER NUMAN PERFORADO S1P Nº 45;PPE
ALS179.46;ZAPATOS SUPER NUMAN PERFORADO S1P Nº 46;PPE
ALS179.47;ZAPATOS SUPER NUMAN PERFORADO S1P Nº 47;PPE
ALS180.35;ZAPATOS MUJER RAQUEL S2 NEGROS Nº 35;PPE
ALS180.36;ZAPATOS MUJER RAQUEL S2 NEGROS Nº 36;PPE
ALS180.37;ZAPATOS MUJER RAQUEL S2 NEGROS Nº 37;PPE
ALS180.38;ZAPATOS MUJER RAQUEL S2 NEGROS Nº 38;PPE
ALS180.39;ZAPATOS MUJER RAQUEL S2 NEGROS Nº 39;PPE
ALS180.40;ZAPATOS MUJER RAQUEL S2 NEGROS Nº 40;PPE
ALS180.41;ZAPATOS MUJER RAQUEL S2 NEGROS Nº 41;PPE
ALS181;CUBREZAPATOS POLIETILENO PACK BOLSA 100 UNDS;PPE
ALS182.37;ZAPATOS DIAMANTE PLUS SEGURIDAD S3 Nº 37;PPE
ALS182.38;ZAPATOS DIAMANTE PLUS SEGURIDAD S3 Nº 38;PPE
ALS182.39;ZAPATOS DIAMANTE PLUS SEGURIDAD S3 Nº 39;PPE
ALS182.40;ZAPATOS DIAMANTE PLUS SEGURIDAD S3 Nº 40;PPE
ALS182.41;ZAPATOS DIAMANTE PLUS SEGURIDAD S3 Nº 41;PPE
ALS182.42;ZAPATOS DIAMANTE PLUS SEGURIDAD S3 Nº 42;PPE
ALS182.43;ZAPATOS DIAMANTE PLUS SEGURIDAD S3 Nº 43;PPE
ALS182.44;ZAPATOS DIAMANTE PLUS SEGURIDAD S3 Nº 44;PPE
ALS182.45;ZAPATOS DIAMANTE PLUS SEGURIDAD S3 Nº 45;PPE
ALS182.46;ZAPATOS DIAMANTE PLUS SEGURIDAD S3 Nº 46;PPE
ALS182.47;ZAPATOS DIAMANTE PLUS SEGURIDAD S3 Nº 47;PPE
ALS183.37;BOTAS FRAGUA VELCRO PLUS SEGURIDAD S3 NEGRAS Nº 37;PPE
ALS183.38;BOTAS FRAGUA VELCRO PLUS SEGURIDAD S3 NEGRAS Nº 38;PPE
ALS183.39;BOTAS FRAGUA VELCRO PLUS SEGURIDAD S3 NEGRAS Nº 39;PPE
ALS183.40;BOTAS FRAGUA VELCRO PLUS SEGURIDAD S3 NEGRAS Nº 40;PPE
ALS183.41;BOTAS FRAGUA VELCRO PLUS SEGURIDAD S3 NEGRAS Nº 41;PPE
ALS183.42;BOTAS FRAGUA VELCRO PLUS SEGURIDAD S3 NEGRAS Nº 42;PPE
ALS183.43;BOTAS FRAGUA VELCRO PLUS SEGURIDAD S3 NEGRAS Nº 43;PPE
ALS183.44;BOTAS FRAGUA VELCRO PLUS SEGURIDAD S3 NEGRAS Nº 44;PPE
ALS183.45;BOTAS FRAGUA VELCRO PLUS SEGURIDAD S3 NEGRAS Nº 45;PPE
ALS183.46;BOTAS FRAGUA VELCRO PLUS SEGURIDAD S3 NEGRAS Nº 46;PPE
ALS183.47;BOTAS FRAGUA VELCRO PLUS SEGURIDAD S3 NEGRAS Nº 47;PPE
ALS184.37;ZAPATOS CAURO OXIGENO SEGURIDAD S1P Nº 37;PPE
ALS184.38;ZAPATOS CAURO OXIGENO SEGURIDAD S1P Nº 38;PPE
ALS184.39;ZAPATOS CAURO OXIGENO SEGURIDAD S1P Nº 39;PPE
ALS184.40;ZAPATOS CAURO OXIGENO SEGURIDAD S1P Nº 40;PPE
ALS184.41;ZAPATOS CAURO OXIGENO SEGURIDAD S1P Nº 41;PPE
ALS184.42;ZAPATOS CAURO OXIGENO SEGURIDAD S1P Nº 42;PPE
ALS184.43;ZAPATOS CAURO OXIGENO SEGURIDAD S1P Nº 43;PPE
ALS184.44;ZAPATOS CAURO OXIGENO SEGURIDAD S1P Nº 44;PPE
ALS184.45;ZAPATOS CAURO OXIGENO SEGURIDAD S1P Nº 45;PPE
ALS184.46;ZAPATOS CAURO OXIGENO SEGURIDAD S1P Nº 46;PPE
ALS184.47;ZAPATOS CAURO OXIGENO SEGURIDAD S1P Nº 47;PPE
ALS185.35;ZAPATO MUJER CARMEN NEGRO SEGURIDAD S3 Nº 35;PPE
ALS185.36;ZAPATO MUJER CARMEN NEGRO SEGURIDAD S3 Nº 36;PPE
ALS185.37;ZAPATO MUJER CARMEN NEGRO SEGURIDAD S3 Nº 37;PPE
ALS185.38;ZAPATO MUJER CARMEN NEGRO SEGURIDAD S3 Nº 38;PPE
ALS185.39;ZAPATO MUJER CARMEN NEGRO SEGURIDAD S3 Nº 39;PPE
ALS185.40;ZAPATO MUJER CARMEN NEGRO SEGURIDAD S3 Nº 40;PPE
ALS185.41;ZAPATO MUJER CARMEN NEGRO SEGURIDAD S3 Nº 41;PPE
ALS186.35;ZAPATO MUJER MARIA NEGRO SEGURIDAD S3 Nº 35;PPE
ALS186.36;ZAPATO MUJER MARIA NEGRO SEGURIDAD S3 Nº 36;PPE
ALS186.37;ZAPATO MUJER MARIA NEGRO SEGURIDAD S3 Nº 37;PPE
ALS186.38;ZAPATO MUJER MARIA NEGRO SEGURIDAD S3 Nº 38;PPE
ALS186.39;ZAPATO MUJER MARIA NEGRO SEGURIDAD S3 Nº 39;PPE
ALS186.40;ZAPATO MUJER MARIA NEGRO SEGURIDAD S3 Nº 40;PPE
ALS186.41;ZAPATO MUJER MARIA NEGRO SEGURIDAD S3 Nº 41;PPE
ALS187;TALONERAS PUESTA A TIERRA PEDIR NUMERO;PPE
ALS188.3438;PUNTERAS TIGER GRIP VISITOR SEGURIDAD T- 34-38;PPE
ALS188.3943;PUNTERAS TIGER GRIP VISITOR SEGURIDAD T- 39-43;PPE
ALS188.4450;PUNTERAS TIGER GRIP VISITOR SEGURIDAD T- 44-50;PPE
ALS189.37;BOTAS TEXAS PLUS S1P BEIGE SEGURIDAD Nº 37;PPE
ALS189.38;BOTAS TEXAS PLUS S1P BEIGE SEGURIDAD Nº 38;PPE
ALS189.39;BOTAS TEXAS PLUS S1P BEIGE SEGURIDAD Nº 39;PPE
ALS189.40;BOTAS TEXAS PLUS S1P BEIGE SEGURIDAD Nº 40;PPE
ALS189.41;BOTAS TEXAS PLUS S1P BEIGE SEGURIDAD Nº 41;PPE
ALS189.42;BOTAS TEXAS PLUS S1P BEIGE SEGURIDAD Nº 42;PPE
ALS189.43;BOTAS TEXAS PLUS S1P BEIGE SEGURIDAD Nº 43;PPE
ALS189.44;BOTAS TEXAS PLUS S1P BEIGE SEGURIDAD Nº 44;PPE
ALS189.45;BOTAS TEXAS PLUS S1P BEIGE SEGURIDAD Nº 45;PPE
ALS189.46;BOTAS TEXAS PLUS S1P BEIGE SEGURIDAD Nº 46;PPE
ALS189.47;BOTAS TEXAS PLUS S1P BEIGE SEGURIDAD Nº 47;PPE
;COAL S1P SRC (UPOWER);PPE
;FLORIDA S1P SRC (UPOWER);PPE
;LINKIN S3 CI SRC (UPOWER);PPE
ALS192;ARNES DE SEGURIDAD 80076B BIHORB T - UNICA;PPE
ALS193;CUERDA 0,9 METROS 80227B EN Y CON ABSORVEDOR Y MOSQUETON;PPE
ALS194.L-XXL;ARNES ANTICAIDAS CINTURON DE SUJECCIÓN NAVAHO BOD FAST L/XXL;PPE
ALS194.S-L;ARNES ANTICAIDAS CINTURON DE SUJECCIÓN NAVAHO BOD FAST T- S/L;PPE
ALS195;ELEMENTO DE AMARRE GRILLON L52H 002 HOOK 2 M SUJ REG;PPE
ALS196;CINTURON 3M 835000 CONFORT PARA ADFLO T - UNICA;PPE
ALS197;ARNES DELTA III 1112912 PROTECTA - 3M;PPE
ALS198;ABSORVEDOR ENERGIA DOBLE RAMAL AE5315WAF DE 1,5 MT/25 MM;PPE
ALS199;ESLINGA CON ABSORVEDOR DOBLE RAMAL AE5315KBF;PPE
ALS200.0;ARNES MILLER H-DESIGN DURAFLEX T- 0;PPE
ALS200.1;ARNES MILLER H-DESIGN DURAFLEX T- 1;PPE
ALS200.2;ARNES MILLER H-DESIGN DURAFLEX T- 2;PPE
ALS200.3;ARNES MILLER H-DESIGN DURAFLEX T- 3;PPE
ALS201;ANTICAIDAS 1011742 FALCON SRL MP 10 M G TDC + 2 MOSQUETONES;PPE
ALS202;TRIPODE 1034430 DURA HOIST 3 POD;PPE
ALS203;CABESTRANTE 1034611 MODELO DURAHOIST 15 MT INOX;PPE
ALS204;SOPORTE 1034613 PARA CABRESTANTE MODELO DURA HOIST;PPE
ALS205;CONJUNTO 2E20+2M73+1M50 2 CUERDAS MOSQUETON Y GANCHOS;PPE
ALS206;CONECTOR M73 ALUMINIO GANCHO 60 MM (PN136);PPE
ALS207;PERTIGA DE ALUMINIO EXTENSIBLE CON GANCHO DE 60MM P011+P03;PPE
ALS208;MOSQUETONES M50 VIROLA BIMANO 10 X 120;PPE
ALS209;PERTIGA SISTEMA P9M 2MTS X 5 TRAMOS MAXIMA TENSION 480KV;PPE
ALS210;MOSQUETON SISTEMA P DIRECCIONAL 110 LONGITUD 250 MM;PPE
ALS301.M/L;3M™ 1161610 Protecta® Standard Vest Style Fall Arrest Harness T- M/L;PPE
ALS301.S;3M™ 1161609 Protecta® Standard Vest Style Fall Arrest Harness T- S;PPE
ALS301.XL;3M™ 1161611 Protecta® Standard Vest Style Fall Arrest Harness T- XL;PPE
ALS302;EZ-Line Ref:760506118M RETRACTABLE 2 MAN ARREST 5 NAB RESTRAINT RATE SELF;PPE
ALS311;ANTICAIDAS IRUDEK KARBOR H3,5;PPE
ALS312;ANTICAIDAS IRUDEK KARBOR H6-;PPE
ALS251;LINTERNA E78CHB FRONTAL PIXA 3;PPE
ALS252;ALMOHADILLA DACAR ERGO-SOFT MAT 1100004;PPE
ALS253;RODILLERA 908261 RÓTULA MEDOP;PPE
ALS254;RODILLERA 992008 GEL INYECTADO PROFESIONAL ANTIDESLIZANTE;PPE
ALS255;RODILLERA R020 ERGONOMICA LIGERA TALLA UNICA;PPE
ALS256;JUEGO PLARK10 RODILLERAS ALMOHAD NEGRA KT 100 PLANO;PPE
ALS257;STOKODERM SUN100ML SUN PROTECTOR SOLAR 30 TUBO 100 ML;PPE
ALS258;REPELENTE 1168044 AUTAN MOSQUITOS SPRAY 100 ML;PPE
ALS259;MINI BLOQUEO S2394 MASTER LOCK;PPE
ALS260;CANDADO 406 KD RED MASTER LOCK COLOR ROJO LLAVES DIFERENTES;PPE
ALS261;BOLSA TARJETAS IDENTIFICATIVAS S497LES PACK DE 12 UNDS;PPE
ALS262;ARMARIO 31601000 EQUIPO DE EVACUACION;PPE
ALS263;EQUIPO 311000000 AIRBOX DE ESCAPE AX-15;PPE
ALS264;ARMARIO 316000000 AIRBOX EQUIPOS SCBA-ERA AM 320;PPE
ALS265;BOTELLA 31400600 AIRBOX AIRE RESPIRABLE DE ACERO 6,01 L;PPE
ALS266;EQUIPO AIRBOX DE INTERVENCIONAERIS AERIS ZENITH;PPE
ALS267;BRAGA B285 POLAR ANTIFRIO MARINO;PPE
ALS269;RECAMBIO 118001 DE CUCHILLAS CUTTER MULTISET;PPE
ALS270;CUTER 118001.02 SECUNORM MULTISET (H-99);PPE
ALS271;CUTTER 121001 SECUMAX EASYSAFE;PPE
ALS272;LINTERNA S 2AA MY TORCH RECARGABLE INCLUYE PILAS;PPE
ALS273;LINTERNA SAINT TORCH1 GRAN ALCANCE 600 MT;PPE
ALS274;LINTERNA CABEZA TREK STAR FRONTAL;PPE
ALS275;RIÑONERA PORTA HERRAMIENTAS CINTURON;PPE
A1144650093;ABANICO 60X30 EJE-6 GR.80 (AR00425);MAINTENANCE_INPUT
A0000008512;ESCOBA MILL-PLAST CON PALO (AR00200);MAINTENANCE_INPUT
A0000008680;"ENCHUFE RAP. 1/4"" SERIE 30 REF.90873013 (AR00195)";MAINTENANCE_INPUT
A0000008818;ABRAZADERA T SIN-FIN 8-16  (AR00002);MAINTENANCE_INPUT
A0000009340;ENCHUFE RAP. 10MM. SERIE 30 REF.90853010 (AR00196);MAINTENANCE_INPUT
A0000010009;KGS. TRAPOS MEZCLA ALGODON REF.19 (AR00264);MAINTENANCE_INPUT
A0000010709;RECOGEDOR C/PALO (AR00330);MAINTENANCE_INPUT
A0000011534;HILO TEFLON LOCTITE-55 (AR00258);MAINTENANCE_INPUT
A0000011795;"ADAPT. INST ENCHUFE 1/4"" HEMBRA REF.90863013 (AR00705)";MAINTENANCE_INPUT
A0000011927;BOBINA GEK L-20 1500 SERV. REF.7224 (AR00027);MAINTENANCE_INPUT
A0000013456;TAPON KAPSTO GPN-320 REF.320GL18 (AR00812);MAINTENANCE_INPUT
A0000013644;CINTA AMERICANA EXTREMA 3M GRIS DE 32MM (AR00103);MAINTENANCE_INPUT
A0000014496;BOTE GAS AZUL CLIPPER (AR01136);MAINTENANCE_INPUT
A0000014582;ROLLO CINTA ADHESIVA 55MX9MM.S-218 06302 5689 (AR00707);MAINTENANCE_INPUT
A0000014646;FILM DE PLASTICO CON CINTA ADHESIVA 120 (AR00675);MAINTENANCE_INPUT
A0000014935;FIELTRO 260.019 (AR01123);MAINTENANCE_INPUT
A0000016659;FILM DE PLASTICO C/CINTA ADHESIVA 180 CM (AR00676);MAINTENANCE_INPUT
A0000016708;CINTA AMERICANA 3M GRIS DE 70MM (AR00105);MAINTENANCE_INPUT
A0000016945;ENCHUFE RAPIDO SERIE 30 REF.91233010 (AR00199);MAINTENANCE_INPUT
A0000017109;ESPIGA ACANALADA LEGRIS REF.1911013 (AR00704);MAINTENANCE_INPUT
A0000020759;CAJA PAÑOS JABONOSOS 6X50UDS.KIMTUF-7772 (AR00681) GEK;MAINTENANCE_INPUT
A0000022172;PAQUETE 5 UDS.BAYETA ATRAPAPOLVO GAKATEX (AR00708);MAINTENANCE_INPUT
A0000022563;COLGADOR ESCOBAS INOXFIX 2055 BLANCO(2) (AR00126);MAINTENANCE_INPUT
A0000023962;CINTA SEÑALIZACION AUTOAD.AMARILLA 33X50 (AR00718);MAINTENANCE_INPUT
A0000023963;CINTA SEÑALIZACION AUTOADH.AZUL 33MX50MM (AR00719);MAINTENANCE_INPUT
A0000023966;CINTA SEÑALIZ.AUTOADH.33X50 ROJO (AR00720);MAINTENANCE_INPUT
A0000024541;CINTA GRIS 50MX50MM REF.4657-115-00;MAINTENANCE_INPUT
A0000025461;BOBINA FILM EXTENSIBLE 500MMX160M (AR00671);MAINTENANCE_INPUT
A0000028522;BOTE 20 KG.GRANULADO ABS ABSORBENTE (AR00736);MAINTENANCE_INPUT
A0000028599;KIT 20 RODILLO FILM EXTENS.+PORTARROLLOS (AR00672);MAINTENANCE_INPUT
A0000028915;CINTA ENMASCARAR ALTA TEMP 50MX50MM 2830(MARRON) (AR00706);MAINTENANCE_INPUT
A0000029518;BOBINA PLAST.SEMITUBO 150CM ANCHO G/300 (AR00738);MAINTENANCE_INPUT
A0000030183;CINTA 2 CARAS TESA 64958 5X19 (AR00727);MAINTENANCE_INPUT
A0000031834;CINTA ADH.TRANSP.66MX50MM REF.S10ADH12ES (AR00385);MAINTENANCE_INPUT
A0000035657;DESBASTADOR CORTE RAPIDO PLUS 50417 3M (AR00691);MAINTENANCE_INPUT
A0000035894;ADAPTADOR DE FIELTRO REF.24100093 (AR01125);MAINTENANCE_INPUT
A0000039014;PATATA (EN KG.) (AR00712);MAINTENANCE_INPUT
A0000042311;CANULA PLASTICO PARA STYLMARK;MAINTENANCE_INPUT
A0000048027;CERRADURA BOMBILLO RE135 CURVA (AR01008);MAINTENANCE_INPUT
A0000050737;CINTA AMERICANA 3120 50MX50MM GRIS (AR00104);MAINTENANCE_INPUT
A0000053175;CINTA BALIZAR DELIMITACION 100 MT;MAINTENANCE_INPUT
A0000053870;TUBO CONTACTO 1,2/M8X1,5/D=10X32 AI;MAINTENANCE_INPUT
A0000053871;RODILLO FSR U 1,2 (AR00017);MAINTENANCE_INPUT
A0000056948;SIRGA COMBI G AI/1,2/4,8  (AR01090);MAINTENANCE_INPUT
A0000058317;SECURITY CHECK PAINT MARKER AZUL 96671 (AR01107);MAINTENANCE_INPUT
A0000059104;PAPEL PROFIX SOFTY WIPING ROLL 22X36CM. (AR01103);MAINTENANCE_INPUT
A0000059150;FILM DE PLASTICO C/CINTA ADHESIVA 35 CM (AR01106);MAINTENANCE_INPUT
A0000059621;ROLLO PAPEL AZUL 475 SERVICIOS 42X38CM (AR01109);MAINTENANCE_INPUT
A0000060434;JUEGO ESPATULAS SILICONA KUUQA (AR01114);MAINTENANCE_INPUT
A0000060686;MIXER MS 13-18G (AR01115);MAINTENANCE_INPUT
A0000060786;ESPATULA PLASTICO GOLD-ALSTOM (AR01128);MAINTENANCE_INPUT
A0000060940;BOLSAS OFFSET BLANCO 100GR 200UDS;MAINTENANCE_INPUT
A0003000832;BROCA DIN-338 M/REBAJADO DIA.14 M12,70 (AR00046);MAINTENANCE_INPUT
A0003002144;BROCA DIN-338 M/REBAJADO DIA.13,5 M12,70 (AR00045);MAINTENANCE_INPUT
A0005001091;MACHO MAQ. A15S M-4X0,70 HSSE INOX (AR01062) VERGNANO;MAINTENANCE_INPUT
A0005001092;MACHO MAQ. A15S M-5X0,80 HSSE INOX (AR01063) VERGNANO;MAINTENANCE_INPUT
A0005001093;MACHO MAQ. A15S M-6X1,00 HSSE INOX (AR01064)VERGNANO;MAINTENANCE_INPUT
A0005001094;MACHO MAQ. A15S M-8X1,25 HSSE INOX (AR01065) VERGNANO;MAINTENANCE_INPUT
A0005003030;MACHO MAQ. A16S M-6X1 HSSE TICN (AR00710) VERGNANO;MAINTENANCE_INPUT
A0005003188;MACHO MAQ. A16S M-4X0,70 HSSE TICN (AR00709) VERGNANO;MAINTENANCE_INPUT
A0005003189;MACHO MAQ. A16S M-8X1,25 HSSE TICN (AR00711) VERGNANO;MAINTENANCE_INPUT
A0005003342;MACHO MAQ. A16S M-10X1,50 HSSE TICN (AR00725) VERGNANO;MAINTENANCE_INPUT
A0005003368;MACHO MAQ. A16S M-5X0,80 HSSE TICN (AR00746) VERGNANO;MAINTENANCE_INPUT
A0023000391;FRESA ROTATIVA M.D.KEL-1230 6 SALU HCNFE (AR01017);MAINTENANCE_INPUT
A0023000466;FRESA M.D. RBF-1225 DALU M6 (AR01102);MAINTENANCE_INPUT
A0023000543;FRESA M.D. TCA-0806 DENT. 13 ALUCUT (AR00216);MAINTENANCE_INPUT
A0035000164;CUCHILLA S-20 NOGA BS2010 (AR00652);MAINTENANCE_INPUT
A0035001431;MANGO NB NOGA NB1000 (AR00573);MAINTENANCE_INPUT
A0035011460;ALICATE CORTE DIAG. 72 11 160 (AR00007);MAINTENANCE_INPUT
A0035013595;LINTERNA DE ACUMULADOR LED;MAINTENANCE_INPUT
A0035013989;TIJERAS ELECTRICISTA L-140 (AR00094);MAINTENANCE_INPUT
A0035014035;VASO DE REPUESTO CON TAPA REF.75201;MAINTENANCE_INPUT
A0035018283;MAZA ANTIRREBOTE DIA.60 L-325 (AR00800);MAINTENANCE_INPUT
A0035020934;JGO. 2 CUCHILLAS CURVAS REF.63903156017 (AR01172);MAINTENANCE_INPUT
A0035022938;RECAMBIO ESPUMA P/RODILLO 6CM PORO 00 (AR00329);MAINTENANCE_INPUT
A0035022939;RECAMBIO ESPUMA P/RODILLO 11CM PORO 00 (AR00328);MAINTENANCE_INPUT
A0035024410;CUCHILLA RECAMBIO MOD 7940 (20UN) (AR00714);MAINTENANCE_INPUT
A0035024481;CUCHILLO SEGURIDAD MARTOR PROFI40 119001 (AR00713);MAINTENANCE_INPUT
A0035026364;PINCEL PLANO ANCHO 60 MM (AR00702);MAINTENANCE_INPUT
A0038000337;BOQUILLA DE SOLDAR REF. 15N BINZEL;MAINTENANCE_INPUT
A0038000875;TOBERA CERAMICA GR6 SR18 10N48 (AR00355);MAINTENANCE_INPUT
A0038000886;TOBERA CILINDRICA MB-401 (AR00357);MAINTENANCE_INPUT
A0038001203;TUBO CONTACTO M-8 DE 1,2 A1410015 ALUMIN (AR00359);MAINTENANCE_INPUT
A0038001398;BOQUILLA DE SOLDAR 2-H REF.75500 (AR00034);MAINTENANCE_INPUT
A0038002535;SIRGA LATON P/TEFLON REF.0010 (AR00341);MAINTENANCE_INPUT
A0038002616;CAUDALIMETRO DE PLASTICO;MAINTENANCE_INPUT
A0038006141;MANGUERA BITUBO ROJO/AZUL;MAINTENANCE_INPUT
A0038006859;ROLLO ESTROPAJO GREEN 150X115 (AR01095);MAINTENANCE_INPUT
A0038006867;TUBO CONTACTO M-8 DIAM 0.8 PLATEADO INOX V2;MAINTENANCE_INPUT
A0040002516;DISCO PULIR DIA.150 GR.1500 C/VELCRO 6AG ZIRCONIO (AR00737);MAINTENANCE_INPUT
A0040002574;DISCO CORTE 125X1,6X22 NWE A30N P/ALUMIN SG (AR00179);MAINTENANCE_INPUT
A0040002825;DISCO COR.CENT.EMB.BFC-DTC A46N SG 125X2,5X22 (AR00178);MAINTENANCE_INPUT
A0040002894;DISCO ABRAS. 125X22 Z60 LAMINAS CONVEXO (AR00175);MAINTENANCE_INPUT
A0040003185;ESPONJA ABRA.1/C FINO 140X115X5 3M 03809 (AR00687);MAINTENANCE_INPUT
A0040003340;DISCO PULIR DIA.150 C/VELCRO 8 AG.GR.400 ZIRCONIO (AR00716);MAINTENANCE_INPUT
A0040003679;DISCO LAMINAS TAF LVZ66 180X22 GR.36 Z (AR00194);MAINTENANCE_INPUT
A0040003726;DISCO DESBASTE CERAMICO 125X4 SIGMA GREEN GR.36 (AR00189);MAINTENANCE_INPUT
A0040003783;DISCO ABRASIVO D.203MM GR40 REF.DVT GR40 (AR00457);MAINTENANCE_INPUT
A0040003865;DISCO DESBASTE 178X4 SIGMA GREEN GR.36 (AR00190);MAINTENANCE_INPUT
A0040004123;DISCO CORTE P/ALUM.CENT.HUND.178X3X22,2 CAL.SG-VAX (AR00184);MAINTENANCE_INPUT
A0040004493;CEPILLO AC.INOX.150X20 AG.13MM 344362ROF (AR00096);MAINTENANCE_INPUT
A0040005623;DISCO PULIR DIA.150 C/VELCRO 8 AG.GR.320 ZIRCONIO (AR00717);MAINTENANCE_INPUT
A0040006514;DISCO CORTE FS 180 CO 24 COOL SG-VAX;MAINTENANCE_INPUT
A0040006748;CEPILLO RUFTUF D-30 0,15MM INOX (AR00991);MAINTENANCE_INPUT
A0040006749;CARDA PBG 2519/6 INOX 0,25 (AR00992);MAINTENANCE_INPUT
A0040006969;DISCO POLIFAN 125 AFB-COOL 120 SG INOX+ALU (AR01100);MAINTENANCE_INPUT
A0040006974;DISCO ABRASIVO SIN AG. DIA.75 P400 775L;MAINTENANCE_INPUT
A0040007030;BOINA DE PULIDO 150MM REF-50487 GEKATEX;MAINTENANCE_INPUT
A0040007032;BOINA PULIDO FOAM 150MM 50488   GEKATEX;MAINTENANCE_INPUT
A0040007110;DISCO LIJA FS 180-22 VICTOGRAIN COOL-36 (AR01112);MAINTENANCE_INPUT
A0040007111;DISCO LIJA FS 125-22 VICTOGRAIN COOL-36 (AR01113);MAINTENANCE_INPUT
A004006520;CEPILLO RUFTUF PBG 3030/6 INOX 0,35;MAINTENANCE_INPUT
A0070008860;RODILLO MAQ. SOLDAR KEMPI P/ALUMINIO 1,2 (AR00422);MAINTENANCE_INPUT
A0070011000;RODILLO MAQ.SOLD.KEMPI P/HILO ACERO 1,00 (AR00423);MAINTENANCE_INPUT
A0070018704;ATORNILLADOR A BATERÍA ACODADO MAKITA DFK651FZ;MAINTENANCE_INPUT
A0070021080;BATERÍA MAKITA 18V 5,0AH CON INDICADOR CARGA;MAINTENANCE_INPUT
A0310091559;BROCA DIN-338 RN DIA.2,00 HSSE TICN (AR00050);MAINTENANCE_INPUT
A0310092039;BROCA DIN-338 RN DIA.3,40 HSSE TICN (AR00056);MAINTENANCE_INPUT
A0310092289;BROCA DIN-338 RN DIA.4,20 HSSE TICN (AR00060);MAINTENANCE_INPUT
A0310094149;BROCA DIN-338 RN DIA.12,00 HSS (AR00085);MAINTENANCE_INPUT
A0512050296;JUEGO MACHOS MANO A1 M-4X0,70 HSSE (AR00261);MAINTENANCE_INPUT
A0512050536;JUEGO MACHOS MANO A1 M-6X1,00 HSSE (AR00263);MAINTENANCE_INPUT
A0522050296;MACHO MAQ. A16 M-4X0,70 HSSE TICN (AR00274) VERGNANO;MAINTENANCE_INPUT
A0522050416;MACHO MAQ. A16 M-5X0,80 HSSE TICN (AR00275)VERGNANO;MAINTENANCE_INPUT
A0522050536;MACHO MAQ. A16 M-6X1,00 HSSE TICN (AR00276) VERGNANO;MAINTENANCE_INPUT
A0522050716;MACHO MAQ. A16 M-8X1,25 HSSE TICN (AR00277) VERGNANO;MAINTENANCE_INPUT
A0522050896;MACHO MAQ. A16 M-10X1,50 HSSE TICN (AR00273) VERGNANO;MAINTENANCE_INPUT
A0522051076;MACHO MAQ. A15 M-12X1,75 HSSE TICN (AR00267) VERGNANO;MAINTENANCE_INPUT
A0522060296;MACHO MAQ. A15 M-4X0,70 HSSE TICN (AR00269) VERGNANO;MAINTENANCE_INPUT
A0522060416;MACHO MAQ. A15 M-5X0,80 HSSE TICN (AR00270) VERGNANO;MAINTENANCE_INPUT
A0522060536;MACHO MAQ. A15 M-6X1,00HSSE TICN (AR01147) VERGNANO;MAINTENANCE_INPUT
A0522060716;MACHO MAQ. A15 M-8X1,25 HSSE TICN (AR00272) VERGNANO;MAINTENANCE_INPUT
A1100000352;BROCA DIN-338 RN DIA.2,00 HSSE-TIN TLS (AR00901);MAINTENANCE_INPUT
